"name"
"Yoda"
"Luke Skywalker"
"Han Solo"
"Obi-Wan Kenobi"
"Mace Windu"
"Poe Dameron"
"Anakin Skywalker"
"Rey"
"Finn"
"Jango Fett"
"Boba Fett"
"Darth Maul"
"General Grievous"
"Plo Koon"
"Kit Fisto"
"Captain Rex"
"Bo-Katan Kryze"
"Commander Cody"
"Grand Moff Tarkin"
"Nute Gunray"
"Kylo Ren"
"Emperor Palpatine"
"Jabba the Hutt"
"Admiral Ackbar"
"Leia Organa"
"Darth Sidious"
"Padmé Amidala"
"Prince Xizor"
"Count Dooku"
"Porg"
"Clone Trooper"
"Stormtrooper"
"Sullustan"
"Twi'lek"
"Chiss"
"Gungan"
"Chewbacca Bower"
"Admiral Raddus"
"General Madine"
"Darth Radian"
"Hera Syndulla"
"General Tagge"
